iter	Passed	Remaining
0	0	640
1	1	621
2	1	610
3	2	599
4	3	613
5	4	749
6	5	760
7	6	748
8	6	726
9	7	713
10	7	701
11	8	690
12	8	678
13	9	668
14	10	660
15	10	652
16	11	649
17	11	644
18	12	638
19	12	634
20	13	631
21	14	627
22	14	624
23	15	631
24	16	637
25	17	650
26	18	659
27	19	659
28	19	655
29	20	651
30	20	646
31	21	642
32	21	639
33	22	636
34	23	635
35	23	634
36	24	632
37	24	629
38	25	627
39	26	624
40	26	623
41	27	621
42	27	623
43	28	629
44	29	633
45	30	640
46	31	638
47	32	635
48	32	633
49	33	631
50	33	628
51	34	625
52	34	623
53	35	622
54	36	620
55	36	617
56	37	615
57	37	613
58	38	611
59	38	610
60	39	608
61	40	607
62	40	608
63	41	610
64	42	614
65	43	615
66	44	613
67	44	607
68	44	606
69	45	604
70	46	603
71	46	602
72	47	600
73	47	599
74	48	597
75	49	595
76	49	594
77	50	594
78	50	593
79	51	591
80	51	589
81	52	591
82	54	599
83	55	603
84	55	600
85	56	599
86	56	596
87	57	595
88	58	594
89	58	593
90	59	592
91	59	590
92	60	589
93	61	588
94	61	586
95	62	585
96	62	584
97	63	582
98	63	581
99	64	581
100	65	580
101	65	578
102	66	581
103	67	581
104	68	580
105	68	579
106	69	577
107	69	576
108	70	575
109	70	573
110	71	572
111	72	571
112	72	569
113	73	568
114	73	567
115	74	565
116	74	564
117	75	563
118	75	561
119	76	560
120	77	561
121	78	563
122	78	562
123	79	563
124	80	562
125	80	561
126	81	560
127	81	557
128	82	557
129	83	556
130	83	555
131	84	553
132	84	552
133	85	551
134	85	550
135	86	549
136	87	548
137	87	547
138	88	545
139	88	544
140	89	544
141	91	550
142	91	551
143	92	550
144	93	549
145	93	548
146	94	547
147	94	546
148	95	544
149	95	543
150	96	542
151	97	541
152	97	541
153	98	540
154	99	539
155	99	538
156	100	537
157	100	536
158	101	535
159	101	535
160	102	536
161	104	538
162	105	539
163	105	538
164	106	537
165	106	536
166	107	535
167	107	534
168	108	533
169	109	533
170	109	532
171	110	531
172	110	530
173	111	529
174	112	528
175	112	527
176	113	526
177	114	526
178	114	526
179	115	527
180	116	526
181	116	524
182	117	524
183	117	523
184	118	522
185	119	521
186	119	520
187	120	519
188	120	518
189	121	517
190	121	516
191	122	515
192	123	514
193	123	514
194	124	513
195	124	512
196	125	511
197	126	512
198	127	512
199	128	513
200	129	512
201	129	511
202	130	511
203	130	510
204	131	509
205	131	508
206	132	507
207	133	506
208	133	505
209	134	505
210	134	504
211	135	503
212	136	502
213	136	501
214	137	500
215	137	499
216	138	500
217	139	501
