iter	Passed	Remaining
0	0	716
1	1	647
2	1	614
3	2	595
4	2	579
5	3	563
6	3	567
7	4	566
8	5	560
9	5	555
10	6	550
11	6	571
12	7	582
13	8	580
14	8	574
15	9	571
16	9	568
17	10	567
18	10	567
19	11	563
20	12	561
21	12	559
22	13	556
23	13	553
24	14	550
25	14	548
26	15	546
27	15	542
28	16	540
29	16	539
30	17	537
31	17	535
32	18	533
33	18	532
34	19	531
35	19	529
36	20	527
37	20	526
38	21	531
39	22	539
40	23	538
41	23	536
42	24	534
43	24	533
44	25	531
45	25	529
46	26	528
47	26	526
48	27	525
49	27	523
50	28	522
51	28	520
52	29	518
53	29	517
54	30	516
55	30	515
56	31	514
57	31	513
58	32	512
59	32	511
60	33	510
61	33	509
62	34	508
63	34	506
64	35	505
65	35	508
66	36	512
67	37	516
68	38	516
69	38	515
70	39	514
71	39	512
72	40	511
73	40	510
74	41	509
75	41	508
76	42	506
77	42	505
78	43	504
79	43	503
80	44	502
81	44	501
82	45	498
83	45	497
84	46	496
85	46	496
86	47	495
87	47	494
88	48	493
89	48	493
90	49	492
91	49	492
92	50	491
93	50	490
94	51	493
95	52	494
96	52	493
97	53	492
98	53	491
99	54	490
100	55	489
101	55	488
102	55	487
103	56	486
104	57	486
105	57	485
106	58	484
107	58	483
108	59	482
109	59	482
110	60	481
111	60	480
112	61	479
113	61	478
114	62	478
115	62	477
116	63	475
117	63	474
118	64	475
119	64	475
120	65	476
121	66	476
122	67	478
123	67	478
124	68	479
125	69	479
126	69	478
127	70	477
128	70	477
129	71	477
130	72	478
131	72	478
132	73	477
133	73	476
134	74	476
135	74	475
136	75	474
137	75	474
138	76	473
139	76	472
140	77	472
141	77	470
142	78	469
143	78	469
144	79	468
145	79	467
146	80	467
147	81	468
148	82	469
149	82	469
150	83	468
151	83	467
152	84	467
153	85	467
154	85	467
155	86	466
156	86	465
157	87	465
158	87	464
159	88	464
160	88	462
161	89	462
162	89	461
163	90	460
164	90	460
165	91	459
166	92	458
167	92	458
168	93	457
169	93	456
170	94	456
171	94	455
172	95	454
173	95	455
174	96	456
175	97	456
176	98	456
177	98	455
178	99	455
179	99	454
180	100	454
181	101	454
182	101	453
183	102	453
184	102	452
185	103	451
186	103	450
187	104	450
188	104	449
189	105	448
190	105	448
191	106	447
192	106	446
193	107	445
194	107	445
195	108	444
196	108	443
197	109	443
198	109	442
199	110	442
200	111	443
201	112	443
202	113	444
203	113	444
204	114	443
205	114	443
206	115	442
207	116	441
208	116	441
209	117	440
210	117	439
211	118	439
212	118	438
213	119	438
214	119	437
215	120	436
216	120	436
217	121	435
218	121	434
219	122	433
220	122	433
221	123	432
222	123	431
223	124	431
224	124	430
225	125	431
226	126	431
227	127	431
228	127	430
229	128	431
230	129	431
231	130	430
232	130	430
233	131	430
234	132	429
235	132	429
236	133	428
237	133	427
238	134	427
239	134	426
240	135	425
241	135	425
242	136	424
243	136	423
244	137	423
245	137	422
246	138	421
247	138	420
248	139	420
249	139	419
250	140	419
251	141	420
252	142	420
253	142	419
254	143	419
255	143	418
256	144	417
257	145	417
258	145	417
259	146	416
260	146	415
261	147	415
262	147	414
263	148	414
264	149	413
265	149	412
266	150	412
267	150	411
268	151	410
269	151	410
270	152	409
271	152	408
272	153	408
273	153	407
274	154	407
275	155	407
276	156	408
277	157	407
278	157	407
279	158	407
280	159	406
281	159	406
282	160	405
283	160	404
284	161	404
285	161	403
286	162	402
287	162	402
288	163	401
289	163	400
290	164	400
291	164	399
292	165	398
293	165	398
294	166	397
295	166	396
296	167	396
297	167	395
298	168	394
299	168	394
300	169	393
301	170	393
302	171	394
303	171	393
304	172	393
305	173	393
306	173	392
307	174	391
308	174	391
309	175	390
310	175	389
311	176	389
312	176	388
313	177	387
314	177	387
315	178	386
316	179	385
317	179	385
318	180	384
319	180	383
320	181	383
321	181	382
322	182	381
323	182	381
324	183	380
325	183	379
326	184	379
327	184	378
328	185	378
329	186	378
330	186	377
331	187	377
332	188	376
333	188	376
334	189	375
335	190	375
336	190	375
337	191	374
338	191	374
339	192	373
340	192	372
341	193	372
342	193	371
343	194	370
344	194	370
345	195	369
346	195	368
347	196	368
348	196	367
349	197	366
350	197	365
351	198	365
352	198	364
353	199	363
354	200	363
355	200	363
356	201	363
357	202	362
358	203	362
359	203	361
360	204	361
361	204	360
362	205	360
363	205	359
364	206	358
365	206	358
366	207	357
367	207	356
368	208	356
369	208	355
370	209	354
371	209	354
372	210	353
373	210	353
374	211	352
375	211	351
376	212	351
377	212	350
378	213	349
379	214	349
380	214	349
381	215	349
382	216	348
383	217	348
384	217	347
385	218	347
386	218	346
387	219	346
388	219	345
389	220	344
390	220	344
391	221	343
392	221	342
393	222	342
394	222	341
395	223	340
396	223	340
397	224	339
398	224	338
399	225	338
400	226	337
401	226	337
402	227	336
403	227	335
404	228	335
405	228	334
406	229	333
407	229	333
408	230	333
409	231	332
410	231	332
411	232	331
412	233	331
413	233	330
414	234	330
415	234	329
416	235	329
417	235	328
418	236	327
419	236	327
420	237	326
421	237	325
422	238	325
423	238	324
424	239	324
425	239	323
426	240	322
427	241	322
428	241	321
429	242	320
430	242	320
431	243	319
432	243	318
433	244	318
434	244	318
435	245	317
436	246	317
437	247	317
438	247	316
439	248	316
440	248	315
441	249	314
442	249	314
443	250	313
444	250	312
445	251	312
446	251	311
447	252	311
448	252	310
449	253	309
450	254	309
451	254	308
452	254	307
453	255	307
454	256	306
455	256	306
456	257	305
457	257	304
458	258	304
459	258	303
460	259	302
461	260	302
462	260	302
463	261	302
464	262	301
465	262	301
466	263	300
467	263	300
468	264	299
469	265	299
470	265	298
471	266	297
472	266	297
473	267	296
474	267	295
475	268	295
476	268	294
477	269	294
478	269	293
479	270	292
480	270	292
481	271	291
482	271	291
483	272	290
484	272	289
485	273	289
486	273	288
487	275	288
488	275	288
489	276	287
490	277	287
491	277	286
492	278	285
493	278	285
494	279	285
495	279	284
496	280	283
497	280	283
498	281	282
499	281	281
500	282	281
501	282	280
502	283	280
503	283	279
504	284	278
505	284	278
506	285	277
507	286	276
508	286	276
509	287	275
510	287	275
511	288	274
512	288	273
513	289	273
514	289	273
515	290	272
516	291	272
517	292	272
518	292	271
519	293	270
520	294	270
521	294	270
522	295	269
523	295	268
524	296	268
525	296	267
526	297	266
527	297	266
528	298	265
529	299	265
530	299	264
531	300	263
532	300	263
533	301	262
534	301	262
535	302	261
536	302	260
537	303	260
538	303	259
539	304	259
540	304	258
541	306	258
542	306	258
543	307	257
544	307	257
545	308	256
546	309	255
547	309	255
548	310	254
549	310	254
550	311	253
551	311	252
552	312	252
553	312	251
554	313	251
555	313	250
556	314	249
557	314	249
558	315	248
559	315	248
560	316	247
561	316	246
562	317	246
563	317	245
564	318	245
565	318	244
566	319	243
567	320	243
568	321	243
569	322	242
570	322	242
571	323	241
572	323	241
573	324	240
574	324	240
575	325	239
576	325	238
577	326	238
578	326	237
579	327	237
580	328	236
581	328	235
582	329	235
583	329	234
584	330	234
585	330	233
586	331	232
587	331	232
588	332	231
589	332	231
590	333	230
591	333	229
592	334	229
593	334	228
594	335	228
595	336	228
596	337	227
597	337	227
598	338	226
599	338	225
600	339	225
601	339	224
602	340	224
603	340	223
604	341	222
605	342	222
606	342	221
607	343	221
608	343	220
609	344	219
610	344	219
611	345	218
612	345	218
613	346	217
614	346	216
615	347	216
616	347	215
617	348	215
618	348	214
619	349	214
620	349	213
621	350	213
622	351	212
623	352	212
624	352	211
625	353	211
626	353	210
627	354	209
628	355	209
629	355	208
630	356	208
631	356	207
632	357	207
633	357	206
634	358	205
635	358	205
636	359	204
637	359	204
638	360	203
639	360	202
640	361	202
641	361	201
642	362	201
643	362	200
644	363	199
645	363	199
646	364	198
647	365	198
648	365	197
649	366	197
650	367	196
651	367	196
652	368	195
653	368	195
654	369	194
655	369	193
656	370	193
657	370	192
658	371	192
659	372	191
660	372	191
661	373	190
662	373	189
663	374	189
664	374	188
665	375	188
666	375	187
667	376	186
668	376	186
669	377	185
670	377	185
671	378	184
672	378	184
673	379	183
674	379	182
675	381	182
676	382	182
677	382	181
678	383	181
679	384	180
680	384	180
681	385	179
682	386	179
683	386	178
684	387	178
685	387	177
686	388	176
687	388	176
688	389	175
689	389	175
690	390	174
691	390	173
692	391	173
693	391	172
694	392	172
695	392	171
696	393	171
697	393	170
698	394	169
699	394	169
700	395	168
701	396	168
702	397	167
703	397	167
704	398	166
705	398	166
706	399	165
707	400	165
708	400	164
709	401	163
710	401	163
711	402	162
712	402	162
713	403	161
714	403	160
715	404	160
716	404	159
717	405	159
718	405	158
719	406	157
720	406	157
721	407	156
722	407	156
723	408	155
724	408	155
725	409	154
726	409	153
727	410	153
728	411	152
729	412	152
730	412	151
731	413	151
732	413	150
733	414	150
734	414	149
735	415	148
736	415	148
737	416	147
738	416	147
739	417	146
740	417	146
741	418	145
742	418	144
743	419	144
744	419	143
745	420	143
746	421	142
747	421	142
748	422	141
749	422	140
750	423	140
751	423	139
752	424	139
753	424	138
754	425	138
755	426	137
756	427	137
757	427	136
758	428	136
759	429	135
760	429	134
761	430	134
762	430	133
763	431	133
764	431	132
765	432	132
766	433	131
767	433	130
768	434	130
769	434	129
770	435	129
771	435	128
772	436	128
773	436	127
774	437	126
775	437	126
776	438	125
777	438	125
778	439	124
779	439	124
780	440	123
781	441	123
782	442	122
783	442	121
784	443	121
785	443	120
786	444	120
787	444	119
788	445	119
789	446	118
790	446	118
791	447	117
792	447	116
793	448	116
794	448	115
795	449	115
796	449	114
797	450	113
798	450	113
799	451	112
800	451	112
801	452	111
802	452	111
803	453	110
804	454	110
